Date,Site,Species,Pittag,Elastomer,OldNew,Sex,Tissue,SVL,Tail removed,Tail regrown,Weight,LatLoc,Sub,Size,Meso,LongLoc,Stage,PhotoID,PhotoID,PhotoSVL,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,HeightTail,Notes
6/12/2021,UpperBear,DF,999002018052124,NA,O,M,N,55,0,0,3.7,WE,R,20,RF,440,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/12/2021,UpperBear,DF,900215000823248,NA,N,M,N,36,60,60,NA,WE,R,20,RF,495,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/12/2021,UpperBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,22,PL,200,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/12/2021,UpperBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,15,PL,205,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/12/2021,UpperBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,24,PL,319,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/12/2021,UpperBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,22,RF,10,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/12/2021,UpperBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,40,PL,138,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/12/2021,UpperBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,20,PL,390,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,900215000822301,NA,N,NA,Y,NA,0,0,4.8,T,R,35,PL,40,L,108-0230,108-0231,62.89,16.34,10.76,43.58,9.97,3.84,4.13,7.43,8.46,
6/13/2021,UpperParadise,DF,999002018052182,NA,O,M,N,61,0,0,4.5,WE,R,40,NA,29,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,DF,900215000823268,NA,N,F,N,47,3,0,1.8,WE,R,30,PL,25,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,DF,900113001674210,DPB1-503,O,M,N,58,0,0,3.3,WE,R,32,RF,127,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,DF,900113001674244,NA,O,M,N,48,0,0,2.2,WE,R,25,PL,130,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,GP,900215000822315,NA,N,F,Y,NA,30,20,6.2,T,R,50,RF,127,A,108-0232,108-0233,74.54,17.01,11.07,52.49,11.95,4.11,5.06,8.65,7.7,
6/13/2021,UpperParadise,EB,NA,NA,N,U,N,30,0,0,0.3,WE,R,25,C,116,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,GP,900215000822382,NA,N,U,Y,37,0,0,0.9,WE,R,33,RF,100,L,108-0234,108-0235,38.06,10.01,6.55,25.44,5.77,2.42,2.39,4.29,4.61,
6/13/2021,UpperParadise,GP,900215000822324,NA,N,F,Y,NA,5,2,6.9,WE,R,41,PL,130,A,108-0236,108-0237,69.68,15.56,11.72,46.68,11.3,4.05,5.04,8.42,9.16,
6/13/2021,UpperParadise,GP,900113001674320,NA,O,U,Y,NA,2,0,4.8,T,R,30,C,120,L,108-0238,108-0239,58.56,15.5,10.14,40.59,9.25,4.5,2.67,7.85,10,
6/13/2021,UpperParadise,GP,900215000822320,NA,N,U,Y,NA,3,5,5.2,T,R,40,R,128,L,108-0240,108-0241,65.21,16,10.06,44.21,10.38,4.19,4.33,7.83,9.37,
6/13/2021,UpperParadise,GP,900215000822316,NA,N,U,Y,NA,0,0,2.7,WE,R,28,PL,140,L,108-0242,108-0243,51.82,13.75,9.21,34.51,8,3.73,2.85,6.02,7.69,
6/13/2021,UpperParadise,DF,900215000823264,NA,N,M,N,57,0,0,4.0,WE,R,28,PL,140,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
